"Name","Year","Adjusted Gross Income","Tax Rate","Wages","Taxable Interest","Business Income","Capital Gains","Other","Total Income","Total Deductions","Taxes Paid","Length"
"Romney",2010,21646507,0.139041648,0,3295727,593996,12573249,5198372,21661344,14837,3009766,203
"Romney",2011,20902075,0.15436855,0,4099156,110500,10700179,5999045,20908880,7805,3226623,104
"Obama",2009,5505409,0.325573268,374460,13473,5173777,-3000,64980,5623690,118281,1792414,65
"Obama",2007,4139965,0.337387393,260735,1442,3972821,-3000,6167,4238165,98200,1396772,34
"Obama",2008,2656902,0.321924934,201913,18890,2479648,1107,34459,2736107,79205,855323,43
"Obama",2010,1728096,0.262583792,395188,8066,1382889,-3000,12471,1795614,67518,453770,59
"Obama",2005,1655106,0.329655019,471009,13385,1141495,-3000,5558710,1670995,15889,545614,28
"Bush Sr",1991,1324456,0.154660479,200000,15269,0,40847,1073464,1329580,5124,204841,27
"Clinton",1996,1065101,0.187579394,200057,28606,742852,100066,7355,1078936,13835,199791,7
"Obama",2006,983826,0.281991938,430700,4590,506618,-3000,52388,991296,7470,277431,23
"Bush Jr",2007,923807,0.239914831,397839,263633,150000,72480,52159,936111,12304,221635,15
"Bush Jr",2000,894880,0.268574557,70554,549236,314,138358,136418,894880,0,240342,2
"Bush Jr",2002,856058,0.313902796,397534,436028,0,-3000,25496,856058,0,268719,8
"Bush Jr",2003,822126,0.276714275,397264,401803,0,-3000,26059,822126,0,227494,8
"Bush Jr",2001,793828,0.315184146,381935,446437,84,-3000,-14356,811100,0,250202,9
"Obama",2011,789674,0.205241657,394821,10694,441369,-3000,701,844585,54911,162074,48
"Bush Jr",2004,784219,0.264348352,397065,363483,0,-3000,26671,784219,0,207307,10
"Bush Jr",2006,765801,0.243376543,397768,285734,0,42075,40224,765801,0,186378,9
"Reagan",1982,741253,0.394758605,200920,247061,0,256978,36294,741253,0,292616,22
"Bush Jr",2005,735180,0.255404119,397702,313486,0,-3000,30692,738880,3700,187768,11
"Clinton",1997,569511,0.161478883,200076,22555,281898,65028,7783,577340,7830,91964,10
"Clinton",1998,504109,0.178435616,200000,16665,74289,200318,18073,509345,5236,89951,15
"Bush Sr",1989,456780,0.221949297,196810,17412,0,36068,206490,456780,0,101382,24
"Bush Sr",1990,452732,0.219204739,200000,19848,0,-3000,235955,452803,71,99241,31
"Clinton",1999,416039,0.221383091,200000,6008,20214,179849,11396,417467,1428,92104,10
"Reagan",1985,394492,0.311040528,200772,115906,0,18827,58987,394492,0,122703,18
"Reagan",1987,345389,0.250841804,201526,54178,0,46238,43447,345389,0,86638,15
"Reagan",1986,336640,0.274655418,201506,84759,0,4750,45601,336640,0,92460,15
"Clinton",1995,316074,0.238668793,202423,15445,0,88441,9765,316074,0,75437,7
"Clinton",1993,293757,0.213339597,191640,16199,0,40553,45365,293757,0,62670,12
"Clinton",1992,290697,0.24158488,237699,7269,0,16336,35873,297177,6480,70228,14
"Obama",2001,272759,0.315560623,176865,0,98158,0,0,275123,2364,86072,10
"Clinton",1994,263900,0.209598333,201421,17140,0,38014,7325,263900,0,55313,2
"Obama",2002,259394,0.265842695,226300,33,34491,0,0,269824,1430,68958,15
"Obama",2000,240505,0.264992412,212999,38,16500,1836,9353,240726,221,63732,11
"Obama",2003,238237,0.217665602,238327,0,0,0,0,238237,0,51856,13
"Obama",2004,207647,0.194686174,207342,0,0,0,305,207647,0,40426,13
