"Year","Traditional Breweries","Specialty Breweries","Total Breweries"
1933,331,0,331
1934,756,0,756
1935,766,0,766
1936,739,0,739
1937,757,0,757
1938,700,0,700
1939,672,0,672
1940,684,0,684
1941,857,0,857
1942,523,0,523
1943,491,0,491
1944,480,0,480
1945,476,0,476
1946,463,0,463
1947,421,0,421
1948,403,0,403
1949,364,0,364
1950,350,0,350
1951,297,0,297
1952,285,0,285
1953,272,0,272
1954,258,0,258
1955,239,0,239
1956,227,0,227
1957,210,0,210
1958,198,0,198
1959,184,0,184
1960,175,0,175
1961,167,0,167
1962,154,0,154
1963,145,0,145
1964,135,0,135
1965,126,0,126
1966,115,1,116
1967,102,1,103
1968,93,1,94
1969,83,1,84
1970,82,1,83
1971,77,1,78
1972,76,1,77
1973,70,1,71
1974,56,1,57
1975,52,1,53
1976,51,1,52
1977,47,2,49
1978,43,2,45
1979,42,2,44
1980,40,8,48
1981,38,10,48
1982,36,13,49
1983,35,14,49
1984,35,22,57
1985,34,37,71
1986,33,46,79
1987,32,91,123
1988,31,150,181
1989,29,215,244
1990,29,269,298
1991,28,322,350
1992,29,376,405
1993,29,461,490
1994,29,605,634
1995,29,977,1006
1996,28,1277,1305
1997,28,1447,1475
1998,26,1625,1651
1999,24,1553,1577
2000,24,1469,1493
2001,25,1474,1499
2002,23,1552,1575
2003,21,1608,1629
2004,22,1568,1590
2005,21,1558,1579
2006,20,1599,1619
2007,20,1615,1635
2008,20,1659,1679
2009,20,1562,1582
2010,20,1673,1693
