Name,GeoID,Total,Bachelor's degree
Alabama,04000US01,3193078.0,443488.0
Alaska,04000US02,456862.0,77153.0
Arizona,04000US04,4211223.0,719546.0
Arkansas,04000US05,1943427.0,254903.0
California,04000US06,24443872.0,4697422.0
Colorado,04000US08,3387310.0,789859.0
Connecticut,04000US09,2444403.0,500103.0
Delaware,04000US10,611120.0,104599.0
District of Columbia,04000US11,428261.0,99622.0
Florida,04000US12,13267581.0,2190780.0
Georgia,04000US13,6308961.0,1119648.0
Hawaii,04000US15,939512.0,180231.0
Idaho,04000US16,998460.0,174646.0
Illinois,04000US17,8521694.0,1645334.0
Indiana,04000US18,4255459.0,628173.0
Iowa,04000US19,2027201.0,358051.0
Kansas,04000US20,1852094.0,365541.0
Kentucky,04000US21,2922350.0,359975.0
Louisiana,04000US22,2972737.0,415415.0
Maine,04000US23,942537.0,168605.0
Maryland,04000US24,3915657.0,800177.0
Massachusetts,04000US25,4502048.0,1004133.0
Michigan,04000US26,6588324.0,1037602.0
Minnesota,04000US27,3560801.0,777339.0
Mississippi,04000US28,1912708.0,240726.0
Missouri,04000US29,4008554.0,656222.0
Montana,04000US30,676793.0,132946.0
Nebraska,04000US31,1196112.0,225822.0
Nevada,04000US32,1810960.0,269461.0
New Hampshire,04000US33,914207.0,191748.0
New Jersey,04000US34,6004613.0,1322225.0
New Mexico,04000US35,1354186.0,195527.0
New York,04000US36,13197704.0,2467536.0
North Carolina,04000US37,6399357.0,1136478.0
North Dakota,04000US38,448145.0,86615.0
Ohio,04000US39,7749236.0,1196897.0
Oklahoma,04000US40,2469196.0,396219.0
Oregon,04000US41,2644754.0,486317.0
Pennsylvania,04000US42,8714235.0,1443083.0
Puerto Rico,04000US72,2443515.0,416008.0
Rhode Island,04000US44,712266.0,134049.0
South Carolina,04000US45,3110532.0,486569.0
South Dakota,04000US46,537588.0,97956.0
Tennessee,04000US47,4294392.0,655551.0
Texas,04000US48,16074391.0,2847501.0
Utah,04000US49,1608668.0,322983.0
Vermont,04000US50,434652.0,93188.0
Virginia,04000US51,5418844.0,1111225.0
Washington,04000US53,4583426.0,925095.0
West Virginia,04000US54,1294198.0,150916.0
Wisconsin,04000US55,3831373.0,668444.0
Wyoming,04000US56,375608.0,61815.0
